"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-05-01 00:00","2019","05","01","00:00","7.4","","3.5","","76","","6","","22","","16.1","","101.93","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-05-01 01:00","2019","05","01","01:00","7.0","","2.7","","74","","7","","32","","16.1","","101.69","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-05-01 02:00","2019","05","01","02:00","6.9","","2.8","","75","","6","","32","","16.1","","101.76","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-05-01 03:00","2019","05","01","03:00","6.4","","3.2","","80","","7","","34","","16.1","","101.72","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-05-01 04:00","2019","05","01","04:00","5.5","","3.2","","85","","7","","39","","9.7","","101.67","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-05-01 05:00","2019","05","01","05:00","5.2","","3.5","","89","","7","","37","","16.1","","101.66","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-05-01 06:00","2019","05","01","06:00","5.2","","4.0","","92","","7","","43","","16.1","","101.63","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-05-01 07:00","2019","05","01","07:00","5.3","","4.3","","93","","6","","50","","16.1","","101.50","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-05-01 08:00","2019","05","01","08:00","5.3","","4.3","","93","","7","","48","","16.1","","101.44","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-05-01 09:00","2019","05","01","09:00","5.3","","4.3","","93","","7","","46","","16.1","","101.38","","","","","","NA"
