"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-10-01 00:00","2019","10","01","00:00","16.2","","15.2","","94","","11","","4","","16.1","","100.65","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-10-01 01:00","2019","10","01","01:00","16.0","","15.5","","97","","25","","4","","16.1","","100.63","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-10-01 02:00","2019","10","01","02:00","15.8","","15.3","","97","","26","","5","","16.1","","100.57","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-10-01 03:00","2019","10","01","03:00","15.8","","15.3","","97","","27","","8","","16.1","","100.50","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-10-01 04:00","2019","10","01","04:00","15.9","","15.3","","96","","23","","5","","16.1","","100.45","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-10-01 05:00","2019","10","01","05:00","16.1","","15.3","","95","","24","","8","","16.1","","100.38","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-10-01 06:00","2019","10","01","06:00","16.7","","15.7","","94","","","M","4","","16.1","","100.39","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-10-01 07:00","2019","10","01","07:00","18.2","","17.3","","94","","","","0","","14.5","","100.40","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-10-01 08:00","2019","10","01","08:00","20.5","","18.8","","90","","","M","4","","16.1","","100.39","","27","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-10-01 09:00","2019","10","01","09:00","21.2","","19.3","","89","","21","","9","","16.1","","100.38","","28","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-10-01 10:00","2019","10","01","10:00","21.6","","19.4","","87","","20","","9","","16.1","","100.31","","29","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-10-01 11:00","2019","10","01","11:00","23.9","","20.0","","79","","22","","11","","16.1","","100.22","","31","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-10-01 12:00","2019","10","01","12:00","23.6","","19.7","","78","","20","","21","","16.1","","100.17","","31","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-10-01 13:00","2019","10","01","13:00","23.2","","19.1","","77","","20","","21","","16.1","","100.13","","30","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-10-01 14:00","2019","10","01","14:00","22.7","","18.7","","78","","21","","22","","16.1","","100.08","","29","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-10-01 15:00","2019","10","01","15:00","21.7","","18.6","","82","","25","","15","","16.1","","100.09","","28","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-10-01 16:00","2019","10","01","16:00","22.0","","20.7","","92","","29","","11","","16.1","","100.16","","30","","","","Thunderstorms,Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-10-01 17:00","2019","10","01","17:00","19.7","","19.5","","99","","26","","13","","16.1","","100.19","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-10-01 18:00","2019","10","01","18:00","18.6","","18.3","","98","","23","","9","","16.1","","100.25","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-10-01 19:00","2019","10","01","19:00","18.9","","18.4","","97","","21","","21","","16.1","","100.26","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-10-01 20:00","2019","10","01","20:00","19.4","","18.9","","97","","24","","15","","16.1","","100.25","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-10-01 21:00","2019","10","01","21:00","21.5","","20.0","","91","","28","","11","","16.1","","100.19","","29","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-10-01 22:00","2019","10","01","22:00","18.8","","18.2","","96","","26","","18","","16.1","","100.19","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-10-01 23:00","2019","10","01","23:00","18.6","","18.3","","98","","22","","17","","16.1","","100.17","","","","","","NA"
