MATERIAL,source,Banner,SRC_BAN_POS,Plan_Banner,Plan_Region,CL4Key,CL6Key,pos_date,Pos_Qty_EA,Pos_Sales,POS_QTY_CS,UBP,UNIT,FACTOR_EACH,PER_SALES_UOM_CASE,Complete_PPG,Total_Sales,Baseline_Qty,Baseline_Nps,ForecastDate,Incr_Sales,PromoId,InStoreStart,InStoreEnd,PromoDuration,MATERIALDESC,SUB_CATEGORY,SUB_CATEGORY_DESC,CATEGORY,CATEGORY_DESC,FGroup_Desc
11001187,Company A,Company A ONTARIO,2022-06-10,Company A,ONTARIO,292278,292696,2022-06-10,69,186.15,8.625,23.44,EA,1,8,Superbundle,202.17,14,328.16,2022-06-06,-125.99,1358399,2022-06-09,2022-07-13,35,STOUFFER'S BST Italian 5 Cheese 8x256gCA,CAKK1K112,STF BISTRO CRUSTINI,CAKK1,FROZEN MEALS,CEF - CA Bistro 8pk
11001187,Company A,Company A ONTARIO,2022-06-09,Company A,ONTARIO,292278,292696,2022-06-09,60,161.86,7.5,23.44,EA,1,8,Superbundle,175.8,14,328.16,2022-06-06,-152.36,1358399,2022-06-09,2022-07-13,35,STOUFFER'S BST Italian 5 Cheese 8x256gCA,CAKK1K112,STF BISTRO CRUSTINI,CAKK1,FROZEN MEALS,CEF - CA Bistro 8pk
11001187,Company A,Company A ONTARIO,2022-06-12,Company A,ONTARIO,292278,292696,2022-06-12,101,271.56,12.625,23.44,EA,1,8,Superbundle,295.93,14,328.16,2022-06-06,-32.23,1358399,2022-06-09,2022-07-13,35,STOUFFER'S BST Italian 5 Cheese 8x256gCA,CAKK1K112,STF BISTRO CRUSTINI,CAKK1,FROZEN MEALS,CEF - CA Bistro 8pk
11001187,Company A,Company A ONTARIO,2022-06-11,Company A,ONTARIO,292278,292696,2022-06-11,70,188.51,8.75,23.44,EA,1,8,Superbundle,205.1,14,328.16,2022-06-06,-123.06,1358399,2022-06-09,2022-07-13,35,STOUFFER'S BST Italian 5 Cheese 8x256gCA,CAKK1K112,STF BISTRO CRUSTINI,CAKK1,FROZEN MEALS,CEF - CA Bistro 8pk
11001187,Company A,Company A ONTARIO,2022-06-16,Company A,ONTARIO,292278,292696,2022-06-16,80,215.82,10.0,23.44,EA,1,8,Superbundle,234.4,14,328.16,2022-06-13,-93.76,1358399,2022-06-09,2022-07-13,35,STOUFFER'S BST Italian 5 Cheese 8x256gCA,CAKK1K112,STF BISTRO CRUSTINI,CAKK1,FROZEN MEALS,CEF - CA Bistro 8pk
11001187,Company A,Company A ONTARIO,2022-06-16,Company A,ONTARIO,292278,292696,2022-06-16,80,215.82,10.0,23.44,EA,1,8,Superbundle,234.4,14,328.16,2022-06-13,-93.76,1970338,2022-06-16,2022-06-22,7,STOUFFER'S BST Italian 5 Cheese 8x256gCA,CAKK1K112,STF BISTRO CRUSTINI,CAKK1,FROZEN MEALS,CEF - CA Bistro 8pk
11001187,Company A,Company A ONTARIO,2022-06-14,Company A,ONTARIO,292278,292696,2022-06-14,99,265.2,12.375,23.44,EA,1,8,Superbundle,290.07,14,328.16,2022-06-13,-38.09,1358399,2022-06-09,2022-07-13,35,STOUFFER'S BST Italian 5 Cheese 8x256gCA,CAKK1K112,STF BISTRO CRUSTINI,CAKK1,FROZEN MEALS,CEF - CA Bistro 8pk
11001187,Company A,Company A ONTARIO,2022-06-18,Company A,ONTARIO,292278,292696,2022-06-18,80,215.11,10.0,23.44,EA,1,8,Superbundle,234.4,14,328.16,2022-06-13,-93.76,1358399,2022-06-09,2022-07-13,35,STOUFFER'S BST Italian 5 Cheese 8x256gCA,CAKK1K112,STF BISTRO CRUSTINI,CAKK1,FROZEN MEALS,CEF - CA Bistro 8pk
11001187,Company A,Company A ONTARIO,2022-06-19,Company A,ONTARIO,292278,292696,2022-06-19,84,227.25,10.5,23.44,EA,1,8,Superbundle,246.12,14,328.16,2022-06-13,-82.04,1358399,2022-06-09,2022-07-13,35,STOUFFER'S BST Italian 5 Cheese 8x256gCA,CAKK1K112,STF BISTRO CRUSTINI,CAKK1,FROZEN MEALS,CEF - CA Bistro 8pk
11001187,Company A,Company A ONTARIO,2022-06-19,Company A,ONTARIO,292278,292696,2022-06-19,84,227.25,10.5,23.44,EA,1,8,Superbundle,246.12,14,328.16,2022-06-13,-82.04,1970338,2022-06-16,2022-06-22,7,STOUFFER'S BST Italian 5 Cheese 8x256gCA,CAKK1K112,STF BISTRO CRUSTINI,CAKK1,FROZEN MEALS,CEF - CA Bistro 8pk
